Kód obce,Název obce,Počet voličů,Počet obálek,Počet platných hlasů,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
562726,Báňovice,90,71,71,9,0,0,2,0,1,0,0,1,0,0,0,4,0,5,11,0,0,33,0,0,0,0,5,0
562548,Bednárec,87,47,47,8,0,0,8,0,3,0,1,0,0,0,0,9,0,0,14,0,0,3,0,0,0,1,0,0
561053,Bednáreček,156,101,99,9,0,0,8,0,1,13,2,3,2,0,0,4,0,5,34,0,0,4,0,0,1,1,12,0
561711,Blažejov,367,233,233,21,1,0,21,0,9,33,2,4,6,2,0,18,1,5,76,0,0,5,0,2,0,0,24,3
562742,Bořetín,77,54,53,3,0,0,6,0,1,1,0,2,2,0,0,4,0,2,22,0,0,4,0,0,1,0,5,0
507733,Březina,107,71,71,8,0,0,6,0,1,7,0,0,0,1,0,5,0,1,16,0,1,16,0,0,0,1,8,0
546020,Budeč,168,91,91,11,0,0,1,0,5,11,0,2,4,0,1,6,0,5,19,0,1,17,0,0,0,0,7,1
546038,Budíškovice,596,362,360,27,3,1,35,1,10,22,1,4,5,1,0,38,0,4,82,0,2,81,0,3,1,3,34,2
509191,Cep,160,89,88,15,0,0,4,0,4,14,0,1,2,2,1,12,0,1,18,0,0,5,0,0,0,0,8,1
546054,Cizkrajov,448,233,233,21,0,4,8,0,9,25,0,4,1,0,0,25,0,2,87,0,1,21,0,0,0,0,25,0
509116,Červený Hrádek,169,112,111,3,0,0,10,0,6,12,1,1,2,1,0,18,0,2,21,0,0,18,0,0,0,1,14,1
546089,České Velenice,2473,1148,1140,110,2,3,143,3,46,124,18,14,11,0,1,109,2,48,310,0,0,32,2,5,1,5,148,3
546097,Český Rudolec,781,497,494,43,0,0,26,1,20,53,4,4,0,0,1,42,0,16,168,1,2,50,2,2,1,0,54,4
546101,Číměř,582,313,312,22,0,0,17,0,10,45,3,1,7,0,0,44,1,12,108,0,1,7,0,2,0,0,31,1
561703,Člunek,397,269,269,15,0,0,20,0,8,42,0,4,3,0,0,16,0,10,104,0,0,7,0,1,0,0,39,0
546127,Dačice,6115,3829,3810,403,7,3,253,5,60,425,27,15,52,4,8,360,2,109,969,0,10,683,2,19,7,4,379,4
546143,Dešná,504,223,223,9,1,1,30,0,3,33,2,2,1,0,1,21,0,6,79,0,0,10,0,0,1,0,23,0
546151,Deštná,608,368,367,60,0,1,26,1,12,30,3,2,5,2,3,33,1,14,104,0,4,24,0,0,0,1,41,0
529753,Dívčí Kopy,61,45,45,2,0,0,2,0,1,4,1,0,2,0,0,4,0,0,19,0,0,1,0,0,0,1,8,0
562416,Dobrohošť,37,30,30,2,0,0,1,0,0,4,0,0,0,0,0,3,0,0,6,0,0,14,0,0,0,0,0,0
562467,Dolní Pěna,268,198,198,40,0,0,8,0,6,15,2,1,8,0,1,26,0,14,51,0,0,4,0,4,0,0,16,2
562602,Dolní Žďár,118,84,84,9,0,1,6,0,2,13,0,0,2,0,0,9,0,5,18,0,0,2,0,1,0,0,16,0
562840,Domanín,299,205,204,32,0,0,18,0,15,17,4,2,0,0,0,25,0,8,36,0,2,12,1,0,0,0,30,2
507610,Doňov,61,48,47,11,0,0,2,0,1,2,0,0,0,1,0,1,0,2,17,0,0,2,0,0,0,0,8,0
